Ainola,AIN,Järvenpää,JP,NORTH
Ainola,AIN,Kerava,KE,SOUTH
Aviapolis,AVP,Lentoasema,LEN,NORTH
Aviapolis,AVP,Kivistö,KTÖ,SOUTH
Espoo,EPO,Kauklahti,KLH,NORTH
Espoo,EPO,Tuomarila,TRL,SOUTH
Haarajoki,HAA,Mäntsälä,MLÄ,NORTH
Haarajoki,HAA,Kerava,KE,SOUTH
Hämeenlinna,HL,Parola,PRL,NORTH
Hämeenlinna,HL,Turenki,TU,SOUTH
Härmä,HM,Pietarsaari-Pedersöre,PNÄ,NORTH
Härmä,HM,Kauhava,KHA,SOUTH
Helsinki,HKI,Pasila,PSL,NORTH
Henna,HNN,Lahti,LH,NORTH
Henna,HNN,Mäntsälä,MLÄ,SOUTH
Herrala,HR,Lahti,LH,NORTH
Herrala,HR,Järvelä,JR,SOUTH
Hiekkaharju,HKH,Leinelä,LNÄ,NORTH
Hiekkaharju,HKH,Koivukylä,KVY,NORTH
Hiekkaharju,HKH,Tikkurila,TKL,SOUTH
Hikiä,HK,Oitti,OI,NORTH
Hikiä,HK,Riihimäki,RI,SOUTH
Humppila,HP,Loimaa,LM,NORTH
Humppila,HP,Toijala,TL,SOUTH
Huopalahti,HPL,Pohjois-Haaga,POH,NORTH
Huopalahti,HPL,Valimo,VMO,NORTH
Huopalahti,HPL,Ilmala,ILA,SOUTH
Hyvinkää,HY,Riihimäki,RI,NORTH
Hyvinkää,HY,Jokela,JK,SOUTH
Iisalmi,ILM,Runni,RNN,NORTH
Iisalmi,ILM,Sukeva,SKV,NORTH
Iisalmi,ILM,Lapinlahti,LNA,SOUTH
Iittala,ITA,Toijala,TL,NORTH
Iittala,ITA,Parola,PRL,SOUTH
Ilmala,ILA,Huopalahti,HPL,NORTH
Ilmala,ILA,Pasila,PSL,SOUTH
Imatra,IMR,Simpele,SPL,NORTH
Imatra,IMR,Joutseno,JTS,SOUTH
Jämsä,JÄS,Jyväskylä,JY,NORTH
Jämsä,JÄS,Orivesi,OV,SOUTH
Järvelä,JR,Herrala,HR,NORTH
Järvelä,JR,Lappila,LAA,SOUTH
Järvenpää,JP,Saunakallio,SAU,NORTH
Järvenpää,JP,Ainola,AIN,SOUTH
Joensuu,JNS,Eno,ENO,NORTH
Joensuu,JNS,Viinijärvi,VNJ,SOUTH
Joensuu,JNS,Kitee,KIT,SOUTH
Jokela,JK,Hyvinkää,HY,NORTH
Jokela,JK,Saunakallio,SAU,SOUTH
Jorvas,JRS,Tolsa,TOL,NORTH
Jorvas,JRS,Masala,MAS,SOUTH
Joutseno,JTS,Imatra,IMR,NORTH
Joutseno,JTS,Lappeenranta,LR,SOUTH
Jyväskylä,JY,Hankasalmi,HKS,NORTH
Jyväskylä,JY,Lievestuore,LVT,NORTH
Jyväskylä,JY,Petäjävesi,PVI,SOUTH
Jyväskylä,JY,Jämsä,JÄS,SOUTH
Kajaani,KAJ,Kontiomäki,KON,NORTH
Kajaani,KAJ,Sukeva,SKV,SOUTH
Kannelmäki,KAN,Malminkartano,MLO,NORTH
Kannelmäki,KAN,Pohjois-Haaga,POH,SOUTH
Kannus,KNS,Ylivieska,YV,NORTH
Kannus,KNS,Kokkola,KOK,SOUTH
Käpylä,KÄP,Oulunkylä,OLK,NORTH
Käpylä,KÄP,Pasila autojuna-asema,PAU,SOUTH
Käpylä,KÄP,Pasila,PSL,SOUTH
Karjaa,KR,Salo,SLO,NORTH
Karjaa,KR,Dragsvik,DRA,NORTH
Karjaa,KR,Siuntio,STI,SOUTH
Kauhava,KHA,Härmä,HM,NORTH
Kauhava,KHA,Lapua,LPA,SOUTH
Kauklahti,KLH,Masala,MAS,NORTH
Kauklahti,KLH,Espoo,EPO,SOUTH
Kauniainen,KNI,Koivuhovi,KVH,NORTH
Kauniainen,KNI,Kera,KEA,SOUTH
Kausala,KA,Uusikylä,UKÄ,NORTH
Kausala,KA,Koria,KRA,SOUTH
Kemi,KEM,Tornio Itäinen,TRI,NORTH
Kemi,KEM,Tervola,TRV,NORTH
Kemi,KEM,Oulu,OL,SOUTH
Kempele,KML,Oulu,OL,NORTH
Kempele,KML,Ruukki,RKI,SOUTH
Kera,KEA,Kauniainen,KNI,NORTH
Kera,KEA,Kilo,KIL,SOUTH
